cbt_no,chatbot,user,translated
CBT 1-1,안녕! 마음의 방에 온걸 환영해.,안녕 ,Hi.
,사람은 여러 가지의 감정을 느껴. 좋은 기분도 싫은 기분도 느끼게 되는데 그것은 자연스러운 거야. 만약 부정적인 기분이 들더라도 이를 부정해서는 안되.,자신의 감정을 받아드리는게 중요하구나,It's important to accept your feelings.
,"울적한 기분이 들었을 때 그 후에 어떻게 행동할까, 어떻게 생각할까 하는 것은 별개의 문제야. 예를 들어, ‘분노’, ‘화’는 나쁜 감정이 아니야. 오히려 화가 나서 물건을 집어 던진 행동이 잘못된거지. 마찬가지로 ‘우울’, ‘슬픔’도 나쁜 감정이 아니야. 슬퍼서 할 일을 미루고 아무것도 하지 않는 것은 문제가 될 수 있지.",그걸 알면서도 가끔은 감정이 행동으로 나도 모르게 이어지는거 같아,"Even though I know that, sometimes I think my emotions lead to actions without realizing it."
,"최근에 있었던 기분 좋았던 일이나 기분 나빴던 상황을 떠올려 볼래? 예를 들어, 학교나 직장에서는 어땠어? 친구들과 있었을 때는? 그 상황에서 나는 어떤 감정을 느끼고 있을까?",논문 쓰는걸 드디어 끝냈어 기분 좋아,I'm finally done writing my thesis. I feel good.
,방금 연습해 본 것처럼 앞으로 일상에서 어떤 생각을 하고 어떤 감정이 들고 어떤 행동을 하는지 함께 찾아나갈거야.,좋아 앞으로 잘 부탁해,Good. Please take good care of me.
,앞으로 차근차근 하나씩 같이 해보자!,공백,a blank space
CBT 1-2 ,마음의 방에 온 것을 환영해! 오늘도 생각-기분 연관성을 탐색하는 시간을 가지려고 해.,공백,a blank space
,"우리가 부정적인 생각을 할수록 기분은 더욱 나빠진다고 했잖아, 오늘은 반대 경험을 느껴보려고 해.","오, 그래","Oh, okay."
,"분명 우리 일상에도 즐겁고 행복한 일들이 있는데 이것들은 간과되고 있을 가능성이 커. 지난 24시간 동안 가장 행복했던 시간을 기록해보자. 예를 들어, 친구가 우스꽝스러운 말을 해서 너무 웃겨서 오랜만에 크게 웃었을 수도 있고, 미루던 일을 모두 끝마쳤을 수도 있고, 산책하던 길에 햇빛이 너무 이쁘게 비쳤을 수도 있겠지. 나의 가장 행복한 순간은 어떤 모습이야?","베이스 연습하기 좋은 유튜브 채널을 찾아서 너무 좋아 ! 그리고 교회분들이 많이 생일 축하해주셨는데, 행복하더라구","I am so happy to find a YouTube channel that is good for practicing bass! And many church members wished me a happy birthday, and I was happy."
,이러한 사건들을 회상하고 기록하면서 행복한 시간을 재경험 하면 좋겠어. 그리고 여유가 된다면 앞으로 며칠 동안 나의 행복한 순간이 다시 일어나도록 계획해도 도움이 될 거야. 산책을 더 자주 나가거나 친구와 더 자주 연락을 하는 것처럼.,그렇게 해볼게,I'll try that.
,오늘도 고생 많았어! 다음에 다시 만나자~,공백,a blank space
CBT 1-3,안녕! 마음의 방에 왔구나~,공백,a blank space
,우울하거나 기분이 좋지 않을 때 나의 기분은 항상 그렇다고 느끼기 쉬울 수 있어. 그리고 마치 세상에 혼자인 듯한 외로운 기분을 느끼기도 하지.,"예전에는 가끔 그런 감정을 느끼고는 했는데, 지금은 별 생각 안드는거 같아","I used to feel that way sometimes, but now I don't think much."
,그러나 실제로 내 주변에 도움을 줄 수 있는 사람이 많을 수 있어. 오늘은 나의 일상에서 도움이 되는 사람들을 인식함으로써 고립감을 줄이고자 해.,좋아 그렇게 해보자,"All right, let's do that."
,"가족, 친구, 선생님, 직장동료, 동아리 회원 누구든 좋으니 나를 알고 지지하는 사람들을 떠올려 보자. 쉽게 생각나지 않는다면 다음의 질문들을 고려해봐.",그래,Okay.
,외로울 때 누구와 이야기하면 편해질까?,나는 공감대나 처한 상황이 비슷한 사람이랑 이야기 하는걸 좋아해,I like to talk to people who are in a similar situation or in a similar situation.
,누구에게 도움을 청하면 안정되는가? 가족 중에서 떠오르는 사람이 있어? 친구나 주변 지인에게 도움을 요청했던 적은 없는지도 천천히 생각해봐.,가족들한테는 이야기를 많이 하지는 않는거 같아. 물어보시면 이야기를 하는데 내가 먼저 이야기를 하지는 않아. 가끔가다 동생 ?,"I don't think I talk to my family much. If you ask, I tell you, but I don't tell you first. Sometimes, younger brother?"
,이렇게 힘들 때 도움을 요청할 수 있는 사람들이 있다는 것을 잊지 말았으면 좋겠어. 마음의 방도 언제나 열려 있어!,좋아,OK.
,오늘도 찾아와줘서 고마워. 고생 많았어~,공백,a blank space
CBT 2-1,마음의 방에 왔구나! 나와 같이 힘차게 해보자!,공백,a blank space
,일반적으로 우리가 느끼는 감정 뒤에 숨겨진 생각을 고민해 본 적이 드물거야.,맞아 별로 깊게 생각 안하는거 같아,"Yeah, I don't think I'm thinking too deeply."
,하지만 앞으로 마음의 방에서는 나의 생각을 파악하는 것이 중요해. 오늘은 다양한 나의 생각을 찾아내는 연습을 할 거야.,그래 해보자,"Okay, let's do it."
,여기서 감정 반응이 아닌 감정을 불러일으킨 생각을 적는 것이 중요한 포인트야!,오키,Okay.
,다음은 우리가 흔하게 겪는 상황들이야. 당시를 회상하면서 나는 어떤 생각을 했는지 떠올려봐.,재밌겠다,Sounds fun.
,중요한 일정을 앞둔 상황에서 나는 무슨 생각을 할까?,중요한 일정에서 할 일을 간단하게 상상하고 끝나고 쉬고 있는 내 모습을 상상해,"I simply imagine what I have to do on an important schedule, and I imagine myself resting afterwards."
,사람들 무리 속에서 나는 무슨 생각을 할까?,"별로 생각하지는 않는거 같아, 그냥 내가 해야 될 일이 뭐가 있을까 정도 ?","I don't think I'm thinking much, just what I need to do?"
,"앞으로도 슬플 때, 화가 날 때, 내 기분이 변하는 것을 느낄 때 내가 지금 무슨 생각을 하고 있는지 곰곰이 생각해봐.",ㅋㅋ 그래,Lol yes
,"지금은 낯설고 어려울 수 있지만, 이런 연습이 반복된다면 훨씬 수월해질 거야! 다음에 만나자~ ",공백,a blank space
CBT 2-2,안녕! 오늘도 마음의 방을 찾아줬구나~ 기다리고 있었어.,공백,a blank space
,저번에 배운 ABC 기억나? 오늘은 나에게 직접 적용해 볼거야. 자동적 사고를 떠올리는 것은 어려울 수 있기 때문에 다양한 질문들을 해 볼게.,ABC가 뭐야 ?,What is ABC?
,이번 주에 내 기분이 안 좋아졌던 상황을 떠올려봐.,기분이 안 좋기 보다는 친하게 지내던 동생이 앞으로 교회 안 나갈거 같다라고해서 당혹스러웠어,"Rather than feeling bad, I was embarrassed because my close brother said he wouldn't go to church from now on."
,그때 내 머릿속에 스쳐 지나간 생각은 무엇이야? 혹은 무엇이 마음 속을 스쳐 지나갔을까?,"이거는 생각도 못했던 일인데, 오래동안 생각하고 내린 결정일테니까 존중해줘야겠다","I didn't even think about this, but I'll have to respect it because it's been a long thought decision."
,이 상황은 나에게 무엇을 의미할까?,당연하다고 생각한 것들이 알고보니 당연하지 않았다,Things that I thought were natural turned out not to be natural.
,이 일은 나에게 무엇을 말해줄까?,"음 .. 그러게, 마음을 터놓고 편하게 지냈던 사람들이 하나 둘 멀어지는거를 볼 때 마다 심란하긴 하지만, 주변 사람들한테 휘둘리지 말고 내 갈 길 가는게 맞는거 같아","Well, I know, it's disturbing to see people who have been comfortable and open-minded getting away one by one, but I think it's right to go my way without being swayed by people around me."
,그때 상황에서 나는 어떤 일들에 대해 생각했을까?,앞으로 어떤 변화가 있을지 ?,What's going to happen in the future?
,어때? 내가 마음이 불편할 때 어떤 생각들을 하는지 파악이 됐어?,응 그런거 같아,"Yeah, I think so."
,오늘은 처음이라 많이 어려웠을 수도 있어. 앞으로도 계속 연습할테니 너무 걱정하진 마!,좋아,OK.
,다음에 만나~,공백,a blank space
CBT 2-3,오늘도 마음의 방에 와줬구나~ 반가워!,공백,a blank space
,"내가 긴장하는 상황을 떠올려 보자. 이를 테면, 사람들 앞에서 발표를 해야 한다던지 오랜만에 동창 모임에 나가는 것처럼.",준비하지 않은 상황이 닥쳐왔을 때 많이 긴장하는거 같아,I think I get really nervous when I'm not ready.
,"그때 느꼈던 신체 증상은 어떤 것이 있었어? 예를 들면, 손에서 땀이 났다, 심장이 두근두근 거렸다, 얼굴이 화끈거렸다, 식은땀이 났다, 속이 울렁거렸다, 배가 아팠다 등 다양한 증상이 있을 수 있어.",머리가 백지 상태로 변해서 다음에 뭘 해야 할 지 몇 초동안은 안 떠오르고 식은 땀도 나,"My head's blank and I can't think of what to do next for a few seconds, and I'm sweating."
,그때를 잘 들여다보자. 나의 감정은 어땠을까?,당황스럽고 심장 두근거리고 식은땀 나,"I'm flustered, my heart beats, and I'm sweating."
,감정의 크기는 어땠어?,온전히 느끼는거 같아,I feel like I'm feeling it completely.
,한 번 더 연습해 보자. 반대로 내가 편안한 상황은 어떤게 있을까? 나는 향초를 켜놓고 목욕을 할 때가 참 좋더라고.,좋아하는 음악을 들으면서 집 주변에 있는 하천을 따라 걸으면 마음이 편해지는거 같아,I think walking along the stream around my house while listening to my favorite music makes me feel comfortable.
,그때는 어떤 신체 감각을 느꼈을까？,신체감각이 어떤 의미야 ? 그냥 편안하고 좋다라고 느끼는거 같아,What do you mean by physical sensation? I just feel comfortable and good.
,편안함의 감정 강도는 어땠어?,꽤 큰 거 같아. 복잡한 머리속이 정리되는 기분이야,I think it's pretty big. I feel like I'm clearing up my mind.
,이렇게 신체 감각과 나의 기분 사이의 연관성에 대해서 알아봤어. 생각했던 것보다 밀접하게 관련이 있다는 것을 알 수 있었지.,그렇구나,I suppose.
,앞으로는 몸이 아프다면 내 감정도 들여다보면 도움이 될거라 믿어.,고마워,Thank you.
,"오늘도 고생 많았어, 다음 시간에 만나자~ ",공백,a blank space
CBT 3-1,마음의 방에 와줬구나!,공백,a blank space
,"이번 주에 기분이 나빠지는 상황을 떠올려 볼까? 그 상황에서 나는 어떤 생각을 했을까? 예를 들어 ‘나는 사람들을 실망시켜 왔다’, ‘아무도 나를 이해해 주지 않는다’, ‘나는 부족하다’, ‘다른 사람들은 내 실력이 별로라고 생각할 것이다’ 이런 생각이 들지는 않았어?",잠을 자려고 침대에 누웠는데 잠이 잘 안 와서 조금 기분이 안 좋았던거 같아,"I lied down on the bed to sleep, but I couldn't sleep well, so I felt a little bad."
,오늘은 나의 자동적 사고에 대해서 질문하는 시간을 가지려 해. 이런 구조적인 질문은 사고를 객관적으로 평가하는데 매우 유용해.,자동적 사고 ? 뭔가 어려울거 같아,Automatic thinking? I think it's going to be hard.
,다음의 질문들을 보면서 스스로 반박해보자.,좋아,OK.
,"이 상황에서 일어날 수 있는 최악의 일은 무엇일까? 최고의 일은? 내 생각을 뒷받침하는 증거는 무엇인가? 나의 생각에 반하는 증거는 무엇일까? 나의 생각을 믿어서 나타나는 효과는 무엇이 있을까? 내 생각을 바꿨을 때는 그 영향은 무엇인가? 친구가 나와 같은 유사한 상황에 처해 있다면, 무슨 말을 해줄 것인가?",아무래도 최악의 상황은 누워만 있다가 아침을 맞이하는걸꺼야. 최고의 상황은 바로 잠드는거겠지 ? 잡생각이 많아서 잠에 잘 못드는거다라는 주장을 펼치고는 하는데 실제로 그런거 같아. 가만히 누워있으면 잡생각이 자꾸 나,"Perhaps the worst is to lie down and face the morning. The best thing to do is fall asleep right away, right? He claims that he can't sleep well because he has a lot of thoughts, but I think he actually does. When I lie down, I keep thinking about other things."
,이렇게 일렬의 질문들을 통해 상황을 왜곡된 방식이 아닌 객관적으로 바라볼 수 있어.,쉽게 적용하기는 어려울거 같네 ㅜ,I think it will be difficult to apply it easily.
,"앞으로 마음의 방에서 나의 생각이 타당한지, 합리적인지 구별해내는 다양한 기법들을 구체적으로 다룰거야. 나에게 어떤 방법이 가장 적합한지 찾아봐. ",공백,a blank space
CBT 3-2,안녕! 마음의 방에 온 걸 환영해. 오늘도 우리 기분을 좋게 해주기 위해 같이 노력해보자.,공백,a blank space
,우울할 때는 나의 상황에 대해 균형적인 시각을 가지는 것보다 몇몇 사실에만 집중하기 쉽기 때문에 오류가 섞여 있는 경우가 많다고 했잖아.,맞아 그랬었지,"Right, we did."
,오류를 찾아내는 첫 번째 연습으로 우울한 사람들이 흔히 보이는 인지적 오류 내용을 바꾸는 연습을 해보자.,어렵네,It's hard.
,"‘지금 모든 것이 망가졌다’, ‘내 삶은 다 망했다’ 내용의 흑백논리 오류의 타당성을 평가해보자.",무슨 말인지 잘 모르겠어,I don't know what you're talking about.
,"아직 잘 되어 가고 있는 것을 떠올려 볼까? 예를 들어, 직업 영역에서는 실수가 있었지만 대인관계는 잘 유지되고 있을 수도 있겠지. 혹은 친구 한명과 갈등이 있었지만 나머지 사람들과는 좋은 관계를 맺고 있거나.",지금은 다 순탄하게 흘러가는거 같아,Everything seems to be going smoothly right now.
,"하나만 더 해보자. ‘난 아무것도 제대로 할 수 없어’, ‘나는 아무와도 어울릴 수 없다’ 내용의 흑백논리 오류의 타당성을 평가해보자.",어떻게 평가하는거야 ?,How do you evaluate it?
,내가 이루어 낸 일은 무엇이 있는지 떠올려 볼까? 그리고 나와 어울리는 주변 사람들은 누가 있는지 떠올려 보자.,올해 교회에서 베이스 연주자 직분을 맡게 되었어 올해는 새로운 사람도 많이 알게 된거 같아,"This year, I took over the role of bassist at the church, so I think I got to know a lot of new people this year."
CBT 3-3,안녕! 오늘도 마음의 방에 와주었구나~,공백,a blank space
,"지난 시간에는 우울한 사람들이 흔히 보이는 인지적 오류 내용을 바꿔 봤다면, 이번 시간에는 우리의 생각을 적용해보자!",그래,Okay.
,직접 받아쓰는 것이 도움이 될 수 있어. 글씨로 보게 된다면 나의 생각을 보다 냉정하게 평가할 수 있거든. 마치 생각이 마음속의 어둡고 구석진 곳에서 밝은 곳으로 나왔을 때 생각에 동반되는 오류들도 같이 드러 날거야.,어디던지 적어두는게 중요하구나,It's important to write it down everywhere.
,"이번 주 내 기분이 울적해졌던 상황을 떠올려 보자. 그 상황에서 어떤 생각을 했어? 예를 들어, 룸메이트가 방 정리를 해달라고 요청했을 때 나는 어떤 생각을 했을까... ‘룸메이트가 날 미워하는구나, 나는 진정한 친구가 하나도 없어’, ‘나는 배려심이 없는 아무짝에도 쓸모가 없어’라는 생각이 떠올랐어.",오랫동안 알고 지내던 친구 한 명을 떠나보낸다고 생각하니까 울적해졌어,It made me sad to think that I was leaving a friend I've known for a long time.
,"글로 적어놓은 내 생각을 바라보자. 오류는 없을지 살펴보자. 이를테면, ‘반드시’, ‘절대적으로’처럼 극단적인 표현은 없는지 확인해보자. 혹은",극단적인 표현은 없어,There's no extreme expression.
,"좀 더 현실적인 판단은 없는지 이성적으로 대응해보자. 예를 들어, 나는 ‘나의 행동이 싫다고 표현한 거지, 내가 싫다고 말한 적은 없어’ 혹은 ‘나는 가끔 정리를 안 하긴 해, 이런 행동은 고칠 수 있어, 나는 불완전한 사람이지 쓸모없는 사람은 아니야’ 라고 바꿀 수 있을 것 같아.","알아서 잘 살거야, 나는 내가 지금 상황에서 할 수 있는걸 하면 돼 ","I'll live on my own, I just need to do what I can in this situation."
,많이 어려웠을텐데 열심히 해줘서 고마워! 오늘도 수고 많았어~,공백,a blank space
CBT 4-1,안녕! 여기는 마음의 방이야~,공백,a blank space
,기분이 우울할 때 부정적인 생각을 떨쳐내기 어려울 때가 많아. 이런 부정적인 생각은 잠시 사라졌다가도 금세 다시 떠오르지. 그래서 부정적인 생각을 중단하거나 다른 생각으로 전환하기는 쉽지 않을 수 있어.,맞아 전환하는게 쉽지가 않고 어떤 날은 하루종일 가기도 하는거 같아 ,"Yeah, it's not easy to switch, and I think some days I go all day."
,그러나 일련의 연습을 통해서 충분히 가능한 일이기도 해. 오늘도 하나씩 같이 해보자.,좋아,OK.
,탐정 놀이를 해볼까? 마치 탐정이 되었다고 생각해봐. 우리의 왜곡된 사고에 반박할 수 있는 많은 사실과 단서를 찾아볼거야.,탐정놀이 좋지,Detective is good.
,"나의 생각이 틀렸음을 지지하는 증거는 어떤 것이 있을까? 예를 들어, ‘나는 주변의 몇몇 사람들과 잘 지낸다’ 혹은 ‘나는 일단 시작한 일은 끝내는 편이다’ 이런 것들이 증거가 될 수 있겠지.",나는 책임감이 없지는 않다 ,I am not without responsibility.
,또 어떤 반대되는 증거를 찾을 수 있을까?,주변 사람들과 대체로 잘 지내는 편이다 ?,Do you usually get along with people around you?
,이렇게 반대되는 증거들을 찾았으니 나의 생각이 마냥 옳았다고 보기는 어렵겠지? 조금은 적응적으로 바꿔보자.,그래 한번 해볼게,"Okay, I'll give it a try it."
,잘했어! 이렇게 왜곡되어 있던 생각들을 현실적으로 바꾸다 보면 기분도 금방 좋아질거야.,공백,a blank space
CBT 4-2,안녕! 마음의 방에 온 것을 환영해~ 오늘도 함께 유익한 시간 가져보자.,공백,a blank space
,지난 시간에 이어서 우리의 왜곡된 생각들을 보다 도움이 되는 객관적인 방식으로 바꿔 보려고 해. 역기능적 핵심신념을 믿었을 때의 비용-이익을 분석해 볼거야.,어렵다,It's hard.
,과연 ‘상대방은 분명 나에게 화가 났을 것이다’ 라는 왜곡된 생각을 믿었을 때 득이 더 많을까? 혹은 실이 더 많을까?,실이 많지 않을까 ? 직접적으로 듣지 않는 이상 괜히 지레짐작해서 피곤해질거 같아,"Wouldn't there be a lot of threads? Unless you listen directly, you'll be tired from guessing."
,"이익은 뭐가 있을까? 예를 들면, 그 사람을 조심스럽게 대할 수 있겠지. 또 무엇이 있을까?",내가 한 행동을 돌이켜볼 수 있다 정도 ?,I can look back on what I did.
,"그렇다면 반대로 비용은 뭐가 있을까? 예를 들면, 상대방 눈치를 보느라 위축되고 내 의견을 분명하게 말을 못할거야. 또 무엇이 있을까?",그 사람의 눈치를 보느라 내가 평소라면 신경쓰지 않았던 것들도 신경쓰게 되면서 더 쉽게 피로해져 ,I get tired more easily because I care about things that I normally don't care about because I'm looking at him.
,"그럼 양쪽 입장을 종합적으로 봤을 때, 왜곡된 생각을 유지하는 것이 도움이 될까? 혹은 이를 대체하는 것이 더 유용할까?",왜곡된 생각을 바로잡는게 이득이긴 하겠지 ?,"It would be beneficial to correct distorted ideas, right?"
,무조건적으로 왜곡된 사고를 믿기보다는 객관적으로 따져보는 연습이 도움이 될거라 믿어. 오늘도 고생 많았어~,공백,a blank space
CBT 4-3,마음의 방에 온 것을 환영해! 오늘은 행동과 기분 사이의 연관성을 살펴보려고 해.,공백,a blank space
,우울할 때 어떤 주로 어떤 행동을 하는 것 같아? 예를 들면 가만히 누워있거나 핸드폰 하기 이런 것들이 있겠지.,나는 주로 산책하거나 잠을 자는거 같아,I think I usually take a walk or sleep.
,그 행동을 하고 나서 기분은 어땠어?,머리가 개운해져,I feel refreshed.
,그 행동이 기분을 나아지는데 도움이 되었어?,응 그렇지,"Yes, that's right."
,그렇다면 기분이 나아지는데 도움이 되는 행동은 뭐가 있을까? 잘 떠오르지 않는다면 이전에 기분을 좋게 해줬던 활동을 떠올려보자. 이런 행동을 직접 해보고 기분 변화가 있는지 살펴보자!,운동을 하면 도움 될 거 같아  근육통이 좀 나아지면 동네 헬스장 가려고 ,I think exercising will help. I'll go to the local gym when my muscle pain gets better.
,그런데 피곤하고 의욕이 없어서 이 활동을 하기가 부담스러울 수 있어. 그럴 때는 쉬운 단계의 활동부터 시작해서 활동량을 늘려서 기분을 바꿔주는 경험을 해보는 것이 도움이 될 수 있어.,맞아 너무 목표를 크게 잡으면 하기도 전에 질리는거 같아,"Right, if you set a big goal, you get sick of it even before you do it."
,내가 해보고 싶은 활동을 총 4단계로 나눠 보자. 우선 가장 먼저 무엇을 해야할까?,운동복으로 갈아입어야지,I'm going to change into my tracksuit.
,그 다음엔 어떤걸 해야할까?,신발을 신는다,Put on shoes.
,그 다음엔?,헬스장으로 출발한다 ,I'm leaving for the gym.
,마지막엔 어떤 행동을 하면 될까?,하기로 마음먹은 운동을 해야지,You have to work out that you're determined to do.
,마지막 행동을 하고 나면 어떤 기분이 들까?,아 개운해 ?,"Ah, it's refreshing"
