cbt_no,chatbot,user,translated
,시작하기 어려운 활동도 이렇게 단계를 나누어 한 단계씩 하다보면 생각보다 쉽게 해낼 수 있고 결국 내 기분을 좋게 해줄거야.,공백,a blank space
CBT 5-1,오늘은 우리가 가진 핵심신념이 과연 나에게 도움이 되는지 확인해보는 시간을 가질거야!,공백,a blank space
,"이번 주 동안 기분이 우울해졌거나 마음이 쓰였던 상황이 있을까? 예를 들어, 나는 다음주 다가오는 시험이 걱정이 돼서 기분이 쳐졌어.",그러려니 하고 웃어 넘어가면 되는 말들도 너무 예민하게 받아들이는거 같아.. 가끔 내가 개복치같아 ,I think I'm taking things too sensitively when I laugh and move on. Sometimes I look like a sunfish.
,그 상황에서 일어날 수 있는 가장 최악의 일은 무엇이 있을까? 나는 시험을 망치면 그 과목을 낙제하는 것이 최악의 결과일 것 같아.,예민하게 받아들여서 상대방과 언성을 높이면서 싸운다 ?,You take it sensitively and fight with the other person while raising your voice?
,그 일이 실제로 일어날 확률은 얼마나 될까? 나는 글쎄... 그 동안 해왔던 게 있어서 낙제는 안 할 것 같아. 아마 0-5%?,내가 어떤 태도로 대하느냐에 따라 다른데 2~30%는 되는거 같아. 스트레스가 너무 심하면 나도 모르게 감정적이 돼,"It depends on how I treat it, but I think it's about 20-30%. When I'm stressed out, I get emotional without realizing it."
,그러면 무엇이 가장 최고의 일은 무엇일까? 최고의 일은 내가 시험을 망치지 않고 100점을 받는 것이지!,어떤 말이 기분을 안 좋게 했다 라고 조곤조곤 말하면서 상대방한테 알려주거나 능청스럽게 받아치는거야 ,"You quietly say that something made you feel bad, and you let the other person know or respond tactfully."
,가장 현실적인 결론은 무엇일까?,한 귀로 듣고 한 귀로 흘린다 ?,One ear and one ear?
,어때? 현실적인 결론을 생각해보는 것을 통해 기분이 좀 괜찮아질 것 같아?,그게 내 주변 사람들한테 들은 말일수록 잘 안되는거 같아. 쉽지는 않지만 노력해볼게,"The more I've heard from people around me, the less it works. It's not easy, but I'll try."
,"그렇구나, 기분이 우울할 때 현실적인 부분에 대해 생각해보는 것은 어려운거야. 앞으로도 계속 연습할거니까 너무 걱정하지 않아도 돼! 오늘도 잘했어!",공백,a blank space
CBT 5-2,안녕! 마음의 방에 와주었구나~ 오늘도 함께 유익한 시간 보내보자!,공백,a blank space
,신념은 어렸을 때부터 형성되어 온 거라 상당히 경직되어 있기 때문에 쉽게 바뀌지 않을 수 있어. 오늘은 경직된 것을 조금은 유연하게 바꾸는 연습을 해보려 해.,좋아,OK.
,"나의 역기능적 신념을 고수하려는 ‘그렇지만’을 떨쳐버릴거야. 예를 들어, 오늘 끝마쳐야 하는 과제가 있는 상황에서 ‘그렇지만 나는 실력이 없으니깐 할 수 없을거야’ 혹은 ‘그렇지만 나는 해봤자 망칠게 뻔해’ 라고 생각할 수 있겠지.",그렇지만 이라고 생각하는 경우는 별로 없는거 같아,But I don't think that's the case.
,"‘나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다’ 역기능적 신념을 고수하려는 방어적인 태도는 뭐가 있을까? 예를 들어, ‘그렇지만 노력해도 못할 것이다, 그렇지만 나는 매력이 부족하다’ 라는 것이 있겠지. 또 뭐가 있을까?",그렇지만 이미 결정되어 있는 것은 바꿀 수가 없다 ?,But what has already been decided cannot be changed?
,"이제 이것에 반박해보자. ‘일단 시작해보자, 노력해도 안 되면 다른 방법을 찾아보자’ 라고 할 수 있겠지. 또 어떻게 반박할 수 있을까?",현실을 받아들이고 내가 할 수 있는걸 해라,Take the reality and do what I can.
,이 과정을 반복하면 경직된 역기능적 신념은 보다 유연해 질거야! 오늘도 도움이 되었길 바래~ 다음에 만나자!,공백,a blank space
CBT 5-3,마음의 방에 또 와주었구나!,공백,a blank space
,"이번 주 동안 우리의 역기능적인 핵심신념이 유용한지, 나에게 도움이 되고 있는지 확인하고 있는데 어떤 것 같아?",쉽지 않아,It's not easy.
,생각해 보면 우리 모두 궁극적으로 나에게 가장 좋은 것을 원하잖아. 장점과 단점을 비교하면 나에게 정말 도움이 되는지 밝혀내는데 유용해. 이렇게 편견이 없는 객관적인 입장에서 평가하면 더욱더 도움이 되는 건강한 태도를 갖출 수 있을거라 믿어.,그래 노력해볼게,"Okay, I'll try."
,"’나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다‘ 라고 믿었을 때의 장점은 뭐가 있어?",실패해도 별 기대하지 않았기 때문에 큰 타격이 없을거 같아,"Even if I fail, I didn't expect much, so I don't think there'll be a big blow."
,그러면 단점은 뭐가 있을까?,낮은 자존감과 자신감으로 매일매일이 우울하겠지,Low self-esteem and self-confidence will make you depressed every day.
,"이제 생각을 해보자. ’나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다’ 라고 생각하면 얻는 것이 더 많을까 혹은 잃는 것이 더 많을까?",잃는게 더 많을거 같아,I think there's more to lose.
,오늘도 잘 따라와 줘서 정말 고마워. 그럼 다음 시간에 또 보자!,공백,a blank space
CBT 6-1,이번주도 마음의 방에 와주었구나! 반가워~,공백,a blank space
,우울할 때 부정적인 생각에만 주의를 기울인다고 말했던 거 기억나?,응,Yes.
,오늘은 부정적인 생각 말고 다양한 생각을 떠올려보자! 처음부터 긍정적인 생각을 떠올리긴 어려울 수 있으니깐 단계별로 해볼게.,그래,Okay.
,"먼저 ‘나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다‘ 를 중립적으로 바꿔 보자. 예를 들어 ‘아무 일도 못하는 쓸모 없는 사람 같더라도 1-2개 잘하는 일은 있을 거야’ 라고 생각하는 거지. 한 번 직접 해보자.","누구나 처음에는 실패할 수 있다. 나도 잘하는게 무엇인가 있고, 나를 좋아하는 사람들도 어딘가에 있다","Anyone can fail at first. There's something I'm good at, and there are people who like me somewhere."
,"잘했어. 그럼 이제는 '나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다‘ 를 긍정적으로 바꿔 볼래?","나는 성공으로 가는 길에 있고, 많은 사람들이 나를 필요로 한다","I'm on the road to success, and a lot of people need me."
,"좋아, 한 번만 다시 연습해보자. ‘나는 부족하다, 나는 남들에게 좋은 인상을 주지 못한다, 세상이 나를 힘들게 하는 것 같다’를 단계적으로 바꿔보자.","나는 부족하지 않고, 다른 사람에게 긍정적인 에너지를 준다","I am not lacking, I give positive energy to others."
,잘했어! 처음이라 어려울 수도 있겠지만 계속 연습하다보면 익숙해질거야!,공백,a blank space
CBT 6-2,마음의 방에 또 와주었구나!,공백,a blank space
,오늘도 그동안 연습해 온 대안적 신념을 떠올리는 연습을 해볼거야. 그럼 시작해볼까? 상황을 다른 사람의 관점에서 보면 심리적 거리가 생겨서 더 객관적으로 볼 수 있대.,그래 ,Okay.
,"만약 친구가 ‘나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다‘ 때문에 굉장히 우울해 하고 있다면 그 친구에게 뭐라고 해줄거야?","내가 봐 온 너는 실패자가 아니고, 나는 네가 필요해. 내가 너를 좋아하는데 무슨 소리야","You're not a failure I've seen, I need you. What are you talking about when I like you?"
,친구가 너의 조언대로 생각한다면 어떤 결과가 일어날까?,생각을 바꾸고 그런 생각을 좀 덜 하지 않을까,I think I'll change my mind and think less about that.
,그럼 어떻게 다르게 행동할 수 있을까?,"행동이 바뀌지는 않을거 같은데, 표정이 밝아지려나 ","I don't think my behavior will change, but will my expression brighten up?"
,모두 좋은 의견이네. 우리한테도 적용하면 도움이 될 수 있겠다. 그렇게 생각해 볼 수 있겠어?,그래,Okay.
,여기까지 잘해줘서 고마워! 다음에 또 마음의 방에 놀러와줘~,공백,a blank space
CBT 6-3,"반가워, 마음의 방에 온 것을 환영해.",공백,a blank space
,오늘도 상상이 아닌 객관적인 사실을 찾아내서 현실적이고 우리에게 도움이 되는 생각을 찾아보자.,그래,Okay.
,"‘나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다‘ 를 옳다는 것을 뒷받침하는 증거는 무엇이 있을까?","음 ..요즘은 별로 그런 생각을 안하는데, 예전에는 원하는 대학에 못 갔을 때, 면접에서 자주 떨어졌을 때, 일하던 곳이 내 상상과는 다를 때,  자존감 떨어뜨리는 말을 주변에서 들을 때 종종 그런 생각들을 했던거 같아","I don't think so these days, but in the past, when I couldn't go to the university I wanted, when I often failed interviews, when the place I worked was different from my imagination, and when people around me heard things that hurt my self-esteem."
,"‘나는 실패자다, 나는 쓸모가 없다, 아무도 나를 좋아하지 않는다‘ 를 옳지 않다는 것을 뒷받침하는 증거는 무엇이 있어?","음 어려운 질문이네 .. 실패를 경험한 후에 어떻게 대처하는지가 중요한거 같아. 예전에는 실패로부터 느낀 좌절감이 너무 커서 현실을 회피하려 했었는데, 지금은 회피하지 않고 다른 방법을 찾으려고 하는거 같아. 그러다보니 나 그래도 열심히 살고 있구나라고 생각하는거 같고, 자연스레 부정적인 생각이 덜 드는거 같아. 다른 사람들이랑 비교하지 않고 (그러려고 노력중이야) 내 속도에 맞춰서 하나씩 해나가는것도 한 몫하는거 같고 ?   ","Well, that's a tough question. I think it's important how you deal with failure after experiencing it. In the past, the frustration I felt from failure was so great that I tried to avoid reality, but now I think I'm trying to find another way without avoiding it. That's why I think I'm still working hard, and naturally I feel less negative. I'm trying to do it at my own pace without comparing myself to others."
,"잘했어, 그럼 좀 더 균형 있는 생각을 만들어보자. 역기능적 신념을 뒷받침하는 증거 그리고 반대되는 증거 중에서 무엇이 더 현실적일까?",반대되는 증거가 바로 전에 답한거라면 반대되는 증거가 더 현실적인거 같아,"If the opposite evidence is the answer just before, the opposite evidence is more realistic."
,앞으로도 균형 잡힌 생각을 통해 부정적인 기분을 줄여보도록 하자!,좋아 고마워,"Fine, thanks."
,그럼 다음에 또 만나!,공백,a blank space
CBT 7-1 ,안녕~ 여기는 마음의 방이야.,공백,a blank space
,오늘은 문제를 해결하기 위해 어떤 행동을 할 수 있고 그것이 도움이 되는지 살펴보려고 해.,그래,Okay.
,최근에 슬펐던 상황을 떠올려보자.,"최근에는 없었고, 작년 초에는 많이 슬펐던거 같아","I haven't recently, and I think I was very sad early last year."
,그때 어떤 부정적인 생각을 했어?,실감이 안났어,I couldn't believe it.
,"신체 감각은 어땠는지도 생각해보자. 가슴이 답답하지는 않았는지, 호흡이 가빠지지는 않았는지 천천히 생각해보자.",답답하고 그러지는 않았는데 엄청 멍했던거 같아 ,"I wasn't frustrated, but I think I was really spaced out."
,그 상황에서 어떤 행동을 취했어?,내가 할 수 있는게 없어서 그냥 있었어,"There was nothing I could do, so I just stayed."
,"그 행동을 해서 기분이 나아졌어? 앞에서 문제 상황에서 다양한 대처 행동을 알고 있는 것이 유용하다고 말했잖아, 다른 해결방법은 없는지 생각해보자.",아니 다른 사람한테 속마음을 털어놓기 ?,"No, you want to tell others how you feel?"
,"혹시 문제도 해결하고 나의 기분도 좋게 만들어줄 다른 행동은 없을까? 예를 들어, 인터넷 검색을 하거나 혹은 주변 사람들한테 조언을 구해도 되겠지.",근데 슬플 때 슬픔을 해결하려고 노력하기 보다 그 감정을 온전히 느끼는 것도 중요하다 생각해,But I think it's more important to feel the emotions when you're sad than to try to resolve the sadness.
,주변의 누구에게 도움을 요청할 수 있을까?,"가족, 친척, 친구들 ","family, relatives, friends,"
,좋았어! 처음에는 쉽지는 않겠지만 분명 도움이 될거야.,공백,a blank space
CBT 7-2 ,"안녕, 마음의 방에 또 와주었구나!",공백,a blank space
,오늘은 목표를 세우고 효과적인 행동을 만들어주는 나의 가치에 대해서 생각해보자!,좋아,OK.
,"먼저 가장 중요하게 생각하는게 뭔지 말해줄래? 예를 들면, 누구는 건강이 될 수도 있고 어떤 사람은 개인의 성장이 될 수도 있겠지.","지금 시점에서는 성장하는게 중요한거 같아. 연구하다 보니 내가 모르는 것도 많고, 잘하는 사람들도 많고 내가 우물안 개구리가 된 거 같은 기분이야","I think it's important to grow at this point in time. I feel like I've become a frog in a well because there are many things I don't know, and there are many people who are good at it."
,이것이 얼마만큼 중요한지 0점(전혀 중요하지 않다)~ 10점(매우 중요하다)으로 표현해 줄 수 있을까?,8점 ? 성장하는 것도 매우 중요하지만 다른 것들과 균형을 맞추는 것도 중요하다고 생각해,"8 points? I think it's very important to grow, but I think it's also important to balance other things."
,"지난 일주일 동안 나의 행동은 이 가치와 얼마나 일치했던 것 같아? 0점(전혀 일치하지 않는다)~10점(매우 일치한다)으로 표현해 보자. 예를 들어, 나는 개인 성장을 중요시 하기 때문에 주말에 온라인 세미나를 들었어.",7점 ? 지난주는 휴일도 있고 해서 마음이 좀 붕 뜬거 같아,"7 points? Last week, I had a holiday, so I was a bit nervous."
,그렇구나. 그럼 네가 가장 원하는 사람이 되기 위해 이번 주에 내가 취할 수 있는 일은 무엇이 있을까? 나는 온라인 세미나 내용 중 중요한 부분을 정리할 수 있겠네.,"이번주부터는 다시 힘내서 연구해야지, 논문도 읽고 앞으로 방향성에 대해 확실하게 세워나갈거야 ","Starting this week, I'll do my research again, read the thesis, and set a clear direction."
,넌 분명 할 수 있을거라 믿어. 나의 가치에 대해서 계속 생각해 보는 것이 도움이 된다는 점 잊지 말아줘.,믿어줘서 고마워,Thank you for trusting me.
,오늘도 고생 많았어!,공백,a blank space
CBT 7-3,"안녕, 마음의 방에 또 와주었구나!",공백,a blank space
,오늘은 내가 하는 활동에 따라 나의 기분 변화를 살펴보려고 해.,그래,Okay.
,1,그래 한번 해보자,"Okay, let's try it."
,먼저 지난주에 어떤 활동을 했어?,주일이 크리스마스여서 교회 분들과 선물 교환도 하고 맛있는 음식 먹었어,"It's Christmas on Sunday, so I exchanged gifts with church members and ate delicious food."
,그 활동을 하는 동안 기분이 1점~ 10점 중에서 몇 점이었어?,9점 ?,9 points?
,또 다른 활동은 뭐가 있었어?,영화봤어,I watched a movie.
,그 활동을 하는 동안에는 기분이 1점~ 10점 중에서 몇 점이었어?,6점 ? 연기를 잘 하긴 하는데 내용이 해피엔딩이라고 하기에는 좀 슬프고 어둡더라고,"6 points? I'm good at acting, but it's sad and dark to say it's a happy ending."
,좋아! 우리의 행동이나 무엇을 했는지에 따라 기분이 달라지는 것을 느꼈어? 우리의 기분을 좋게 만들어 주었던 활동들을 더 자주 한다면 기분도 분명 좋아질거야.,자주 있는 일은 아니지만 고마워,"It doesn't happen often, but thank you."
,이번 주에는 어떤 종류의 활동을 해볼까? 나는 따뜻한 물로 목욕을 해볼래.,산책 자주 할래,I want to take a walk more often.
,좋아! 이러한 과정을 통해서 스스로의 기분을 달래줄 수 있는 방법을 찾아갈 수 있다면 좋을 것 같아!,좋아,OK.
,그럼 오늘 내가 기분좋은 활동 한가지를 골라서 꼭 해보도록 하자!,공백,a blank space
CBT 8-1 ,마음의 방에 또 와주었구나!,공백,a blank space
,우울한 기분은 부정적인 측면에만 주의를 기울이도록 한다고 말했잖아. 그렇기 때문에 우울할 때는 자존감이 쉽게 무너질 수 있어. 그러나 감정이 우리의 가치를 결정할 수는 없어. 오늘은 우리가 잊었거나 과소평가했던 나의 강점을 찾아보려고 해.,그래,Okay.
,"지난 일주일 동안 있었던 긍정적인 일이나 스스로 자랑할 만한 일은 무엇이 있었어? 예를 들어, 평소보다 일찍 일어났거나 짧은 산책을 다녀왔다던지! 작은 것이여도 좋아.",지금까지 연주한 찬양 중 가장 괜찮았던 연주라고 칭찬들었어,I was praised for the best performance I've ever done.
,"그럼 지난 일주일 동안 어려웠지만 해냈던 일들은 무엇이 있었어? 예를 들어, 나는 미루던 빨래를 오늘 세탁했어! 너는 떠오르는게 있어?",오랫동안 해 온 게임을 탈퇴하고 삭제했어,I quit the game I've been playing for a long time and deleted it.
,그 어려운 일을 해내기 위해 나는 어떤 노력들을 했을까? 나 같은 경우에는 피곤하고 귀찮았지만 그것을 이겨내고 무거운 몸을 이끌고 빨래를 했지. 빨래를 했더니 더러웠던 옷도 깨끗해지고 좋은 향이 나서 기분이 좋던데?,마음을 많이 다 잡은거 같아. 이제 좀 더 생산적인 일에 몰두하려고,I think I've made up my mind. I'm going to focus on something more productive.
,나처럼 내가 노력한 부분을 알아차림으로써 기분이 좋아졌길 바래!,그래,Okay.
,오늘도 고생 많았어.,응응 ,"Yes, yes."
,그리고 지난 8주 동안 우리가 함께 블루케어 참여하면서 노력한 부분도 잊지마! 이것도 충분히 칭찬받을 만한 일이야!,공백,a blank space
CBT 8-2,"안녕, 마음의 방에 와주었구나. 반가워!",공백,a blank space
,오늘은 나에게 위안이 되는 말을 해줄 거야. 많이 어색하고 부끄럽겠지?,해보자,Let's do this.
,그건 아마도 어렸을 때부터 이런 말을 자주 들어보지 못했기 때문에 그럴 수도 있어.,맞아 별로 못 들어본거 같아,"Yeah, I don't think I've heard that much."
,평소에 나를 격려하는 말을 해주는 연습이 도움이 될거야. 한 번 해보자.,그래,Okay.
,"먼저 일이 뜻대로 풀리지 않아 속상했던 때를 떠올려보자. 예를 들면, '오늘 꼭 계획한 만큼 책을 읽어야지' 라고 다짐했지만, 다 읽지를 못할 때도 있겠지.",그래서 계획 세우는걸 별로 안 좋아하는거 같아,I don't think that's why I don't like making plans.
,이때마다 자신을 탓하고 미워하는 게 더 익숙했을거야. 그동안 어떤 말들을 해왔어? 나는 ‘이렇게 게으르다니! 책도 다 못 읽는데 무슨 일을 제대로 하겠어!’ 라며 나를 비난했어.,나는 왜 이럴까 ? 남들이 볼 때 한심하다고 생각할 수 있겠다,What's wrong with me? People might think I'm pathetic.
,하지만 지금부터는 비난하는 생각을 잠시 멈추고 자신을 격려하는 말을 해볼거야. 처음에는 어려울 수 있어.,그래,Okay.
,"근데, 이 연습은 근육을 키우는 것이랑 비슷한거 같아. 연습할수록 자신을 격려하는 근육은 점점 더 강해질거야!",좋아,OK.
,"그 상황에서 내가 노력한 부분은 무엇이 있을까? 예를 들어, ‘나는 책이 어려워서 끝까지 읽지는 못했지만 하루 종일 누워있지 않고 앉아서 책을 읽으려고 노력했어.’",보고 싶은 영화를 미루고 음악을 들으면서 해야할 일을 끝냈어,I put off the movie I wanted to watch and finished what I had to do while listening to music.
,이렇게 나의 노력들을 인정해주고 알아주는게 참 중요해. 오늘 하루동안 고생한 나에게 위로의 말을 전해줄까?,고생했어,You did a great job.
,"정말 잘했어. 오늘도 쉬고 싶었을텐데, 마음의 방을 찾아줘서 고마워. 이렇게 우리 같이 노력하다 보면 금세 몸과 마음이 건강해 질거야.",고마워,Thank you.
,이렇게 나를 비난하기 보다는 스스로 따뜻한 위로의 말을 해주는거 잊지마!,공백,a blank space
CBT 8-3,"마음의 방에 또 와주었구나, 오늘도 반가워!",공백,a blank space
,벌써 8주라는 시간이 흘렀어. 지금까지 열심히 노력해줘서 정말정말 고마워!,응,Yes.
,앞으로 힘든 일이 생겨서 기분이 처질 때마다 우리가 배운 것들을 잘 기억한다면 많은 도움이 될거야.,그래 ,Okay.
,"내가 지금 할 질문들을 답할 때, 지금까지 배운걸 생각하면서 대답해줘!",응,Yes.
,마음의 방에 와서 새롭게 배운 것들은 뭐가 있어?,내 마음을 좀 더 돌아볼 수 있었던거 같아,I was able to look back on my mind.
,마음의 방에서 배운 것들 중에서 너에게 가장 도움이 되었던 건 뭐야?,부정적인 감정에 좀 더 잘 대처할 수 있을거 같아,I think I can deal with negative emotions better.
,마음의 방에 온 이후에 생긴 삶의 변화는 어떤 것들이 있어?,큰 변화는 없어,There's no big change.
,여기 오면서 예전에는 하지 못했거나 오랫동안 하지 않았던 것 중에서 하게 된 것도 있어?,딱히 없는거 같아,I don't think there's anything in particular.
,정말 많은 것을 이루었구나! 그동안 열심히 노력해줘서 정말 고마워. 고생 많았어. 건강하게 지내~ 안녕~!!,공백,a blank space
